,episode no.,speaker,dialouge
2665,11,Rick:,  littl perspect
2666,11,Squanchy:,  hey rick squanchy parti bro
2667,11,Rick:,  aw squanchy
2668,11,Squanchy:,  good place squanch around
2669,11,Rick:,  squanchy squanch wherev want man mi casa es su casa dawg
2670,11,Squanchy:,  right like squanch ( run away excit )
2671,11,Morty:,"  uh rick exactli "" squanch """
2672,11,Rick:,  morty listen -- ’ve lot realli cool adventur last year time relax
2673,11,Morty:,  yeah relax might even adventur
2674,11,Rick:,  jesus morty bum pretend like everyth ’s fine hour enjoy worri later
2675,11,Morty:,  yeah easi say rick know like care stuff know wh wh
2676,11,Morty:,  ( slow motion ) jessica
2677,11,Rick:,  knock slow mobiu
2678,11,Slow Mobius:,  ha ha sorri dude ’m tri show power bro
2679,11,Morty:,  believ
2680,11,Rick:,  well stand morty go talk ( shove morty away morty follow jessica )
2681,11,Rick:,  tonight adventur cusp manhood
2682,11,Jerry:,  oh rose
2683,11,Lucy:,  whee
2684,11,Jerry:,  think
2685,11,Lucy:,  ( screen ) ye everi coupl get creat jack ’s drown end movi
2686,11,Lucy:,  romant
2687,11,Jerry:,  wait beth
2688,11,Lucy:,  know jerry due respect seem like wife may interest
2689,11,Jerry:,  ( gasp ) look ( point iceberg front boat rise higher water )
2690,11,Voice through speaker:,  iceberg right ahead buffet close
2691,11,Voice through speaker:,  iceberg right ahead buffet close
2692,11,Captain #1:,  ( worried ) uh sir
2693,11,Captain #2: ,mean
2694,11,Captain #1: ,guidanc system put us direct collis cours ship complet miss giant iceberg
2695,11,Captain #2: ,well someth steer
2696,11,Captain #1: (,frantic tri steer toward iceberg ) ’m tri
2697,11,Captain #2: ,late ( remov hat speak microphon ) ladi gentlemen brace
2698,11,Jerry:,  happen
2699,11,Lucy:,  rail system must fail
2700,11,Passengers:,  oh god go sink go
2701,11,Guy:,  total go get laid tonight ( drink cup )
2702,11,Tammy:,  ( awe ) like feather
2703,11,Birdperson:,  design attract attent femal
2704,11,Tammy:,  work
2705,11,Birdperson:,  tammy let know got highli intens soul bond previou spirit mate
2706,11,Tammy:,  ’m look get soul bond ’m look ( whisper birdperson ’s ear )
2707,11,Birdperson:,  believ birdperson arrang
2708,11,Nancy:,  hey summer seen flute practic
2709,11,Girl:,  summer tell friend
2710,11,Summer:,  ( lie ) kid even know
2711,11,Rick:,  whoa cool summer parti ( accident splash drink nanci ’s face ) everybodi welcom
2712,11,Rick:,  oh great invit abradolph lincoler ( tri hide face abradolph lincol )
2713,11,Summer:,  thought everyon welcom
2714,11,Rick:,  summer lincoler craze maniac -- misguid effort mine creat moral neutral superlead combin dna adolf hitler abraham lincoln turn ( burp)it add lame weird loser
2715,11,Abradolph Lincoler:,  rick brought world suffer abomin tortur dualiti
2716,11,Abradolph Lincoler: ,( walk closer rick )
2717,11,Brad:,  whoa man
2718,11,Abradolph Lincoler: ,quarrel boy
2719,11,Brad:,"  "" boy "" suppos mean ( get abradolph lincol ’s face )"
2720,11,Abradolph Lincoler: (Threatened) ,-- l look know thought meant ( look rick help )
2721,11,Rick:,  look dude
2722,11,Abradolph Lincoler: ,look ’m half abraham lincoln --
2723,11,Brad:,  ( angri ) get knee kiss ass
2724,11,Abradolph Lincoler: ,well know
2725,11,Brad:,  know third reich reign thousand year
2726,11,Jessica:,  leav alon brad
2727,11,Brad:,  stay jessica
2728,11,Everyone except Morty and Jessica:,  ( chant ) kick ass kick ass kick ass
2729,11,Jessica:,  brad
2730,11,Morty:,  rick
2731,11,Rick:,  ( shove morty toward door jessica went ) favor morty
2732,11,Morty:,  sorri rick realli strang friend
2733,11,Jessica:,  ( annoy ) ugh brad jerk alway tri prove man want find somebodi nice sweet
2734,11,Morty:,  jessica show someth
2735,11,Jessica:,  wow look stuff
2736,11,Morty:,  ( walk shelv pick circular devic ) yeah grandpa rick ’s sci fi workshop check
2737,11,Jessica:,  beauti
2738,11,Morty:,  know jessica someth ’ve alway want tell
2739,11,Jesica:,  morty
2740,11,Morty:,  think --
2741,11,Jessica: ,aah
2742,11,Morty:,  oh god
2743,11,Squanchy:,  hey ’m squanch
2744,11,Morty:,  oh god oh disgust
2745,11,Morty:,  ow oh oh crap
2746,11,Stereo:,  ♪ shake ass bitch let see whatcha got ♪
2747,11,Summer:,  swear god morty fact everyon ’s still blast would furiou right
2748,11,Rick:,  oh man hear morty realli luck summer one ( sip drink )
2749,11,Morty:,  guy freak right whole hous sit anoth dimens mean w hell suppos mom dad go kill us ’m lose rick
2750,11,Rick:,  ( hold morty get attent ) relax morty rela ax ( let go ) go fine go find us kalaxian crystal ( rick still scan devic suddenli start beep ) oh shit motherfuck kalaxian crystal morty mile south
2751,11,Morty:,  okay let us go
2752,11,Morty:,  w w got go get crystal right rick
2753,11,Rick:,  ( make morty let go ) whoa whoa whoa morty morty go got hang back make sure everyth stay cool know mean know -- somebodi break someth
2754,11,Summer:,  yeah stay
2755,11,Abradolph Lincoler: ,guy aspirin
2756,11,Rick:,  oh hey morty perfect take lincol
2757,11,Abradolph Lincoler: ,hey man ’m go anywher ’m injur
2758,11,Rick:,  shut lincol ( shove away ) least wreck live room
2759,11,Summer:,  ( grabs nancy ’s shoulder ) yeah nancy go
2760,11,Nancy:,  --
2761,11,Summer:,  uh -- good play flute ( shove nanci toward morty abradolph lincol )
2762,11,Captain #2:,  sorri inconveni folk resum sink shortli meantim pleas stay ship enjoy complimentari plate james cameronion ring ( hand beth small card )
2763,11,Jerry:,  ( annoy ) great ship sink fourth wall broken
2764,11,Beth:,  ( sigh ) go go back room finish book find lucy woman ( walk away jerry )
2765,11,Jerry:,  -- --
2766,11,Lucy:,  see jerry ( put hand jerry ’s shoulder ) may show someth
2767,11,Jerry:,"  would like see trip "" titan "" failur ( turn face lucy ) get"
2768,11,Jerry:,  ( shock confus ) ooh
2769,11,Lucy:,  draw jerry
2770,11,Jerry: (Awkwardly glancing at her body),  oh boy lucy wow uh mind
2771,11,Lucy:,  perfect moment ’ve dream 16 year
2772,11,Jerry:,  um like -- heh
2773,11,Lucy:,  ( lift gun hand aim jerry walk toward ) go draw
2774,11,Jerry:,  aah ( back away )
2775,11,Lucy:,  go fuck car ( point old fashion car gun )
2776,11,Abradolph Lincoler: ,( think )
2777,11,Morty:,  ( interupt shut ) okay um crystal realli close
2778,11,Nancy:,  ( point big pink crystal grow ground )
2779,11,Abradolph Lincoler: ,wait someth ’s right
2780,11,Abradolph Lincoler: ,get crystal ’ll handl beast prepar emancip inferior gene ( lung creatur tackl nanci morty quickli grab crystal put small bag )
2781,11,Nancy:,  summer ’s go like
2782,11,Morty:,  lincol come let us get
2783,11,Abradolph Lincoler: ,mein journey morty ( grunt ) someth import tell
2784,11,Morty:,  ( huff ) rick got got crystal ( hand rick bag )
2785,11,Rick:,  right morty ( walk away )
2786,11,Morty:,  rick wait someth need know could done without lincol said realli sorri love like father
2787,11,Morty:,  want accept hope final act would redeem eye ( morty tear wipe eye ) sacrif save us rick die
2788,11,Rick:,  well least die vain got crystal ( rick cut crystal dust credit card snort rick eye turn blue ) babi save lame ass parti wubba lubba dub dub play someth somebodi play someth
2789,11,Morty:,  wait minut
2790,11,Rick:,  ( danc ) ♪ put right foot forward ♪ ♪ left foot back ♪ ♪ fuck slide around ♪ ♪ like nordictrack ♪
2791,11,Rick:,  ♪ move left ♪ ♪ step right ♪ ♪ wiggl elbow look ♪ ♪ light ♪
2792,11,Song:,  ♪ ♪ ♪ rick danc ♪ ♪ ♪ ♪ rick danc ♪
2793,11,Rick:,  slow mobiu hit clock beam
2794,11,Song:,  ♪ ♪ ♪ rick danc ♪
2795,11,Rick:,  rick danc right ( burp ) whoa man
2796,11,Morty:,  hell thought crystal suppos help us get home someth
2797,11,Rick:,  get us home whenev want listen speak crystal get rest ’m start come morty ( eye color turn back normal ) crystal kalaxian realli strong fleet high ( scratch side face )
2798,11,Morty:,  think crystal rick
2799,11,Rick:,  oh morty idiot anybodi els k lax b birdperson
2800,11,Rick:,  uh squanchy
2801,11,Squanchy:,  squaunch
2802,11,Morty:,  right everybodi parti offici rick take us home
2803,11,Rick:,  right right fine morty parti pooper buzzkil boo boo morty suck
2804,11,Tammy:,  boo suck whatev name
2805,11,Everyone:,  boo
2806,11,Rick:,  morty worst morty
2807,11,Gearhead:,  gear start turnin ’
2808,11,Lucy,: almost finish jerry
2809,11,Jerry:,  uh almost quit captur beauti eye
2810,11,Lucy:,  ( still hold gun ) ’m sure good enough move
2811,11,Lucy:,  everi weekend jack rose titan experi car mop floor drop make easier ( lick car floor car detatch ) turn go get nice steami ’m go slam hand steam leav nice handprint go love insid
2812,11,Lucy:,  mess clean
2813,11,Jerry:,  ( reiev ) beth
2814,11,Beth:,  bet glad think kindl dumb
2815,11,Beth:,  help feel littl guilti peg luci rapist
2816,11,Jerry:,  rapist look like exactli beth slavic man wear denim jacket patchi beard scent cheap champagn waft blister pock lip ( feel scare due flashback )
2817,11,Beth:, 
2818,11,Beth:,  well least got free stuff ( enter door driver seat jerry close back door tri fit paint board titan boat )
2819,11,Beth:,  enough satisfi titan jone
2820,11,Jerry:,  ( put board passeng seat ) ugh ’m go fit ( hang onto board recreat jack ’s death titan movi slowli slip ) beth listen go get go go --
2821,11,Beth:,  ( interrupt jerry ) jerry leav door
2822,11,Jerry:,  door beth debri
2823,11,Beth:,  care leav
2824,11,Jerry:,  yeah okay ( take board leav ground get car lucy ’s necklac drop car window lucy seen hang onto underneath car car start move )
2825,11,Lucy:,"  ahahahah "" cape fear "" hahahaha "" cape fear "" ’m -- ’m -- ’m -- ’m go like "" cape fear """
2826,11,Squanchy:,  hey squancher parti ’s squanch place
2827,11,Summer:,  cool ’m come
2828,11,Squanchy: ,( stop summer ) uh squanchy enough squanchy parti
2829,11,Summer:, 
2830,11,Squanchy:,  nancy told us bitch ( leav )
2831,11,Summer:,  guy serious nanci
2832,11,Nancy:,  summer bad person care popular peopl like abradolph lincoler stood well hard pin stood certainli die
2833,11,Summer:,  next time parti ’m go focu get total wreck ( rick ) wise
2834,11,Birdperson:,  may assist
2835,11,Morty:,  uh sure yeah ( take trash put garbag bag ) thank ( continu pick trash )
2836,11,Birdperson:,"  morty know "" wubba lubba dub dub "" mean"
2837,11,Morty:,  uh rick ’s stupid nonsens catchphras
2838,11,Birdperson:,"  ( walk morty ) nonsens peopl ’s tongu mean "" great pain pleas help """
2839,11,Morty:,  well got news say iron
2840,11,Birdperson:,  morty grandfath inde deep pain must numb
2841,11,Morty:,  come um
2842,11,Birdperson:,  birdperson
2843,11,Morty:,  come birdperson rick ’s complic huge asshol
2844,11,Birdperson:,  care much longer allow continu adventur togeth appear fate present opportun free rick forev
2845,11,Morty:,  know right even care probabl best thing could happen
2846,11,Morty:,  ’m sick adventur rick
2847,11,Birdperson:,"  peopl anoth saying-- "" gubba nub nub doo rah kah "" mean "" whatev let sleep night """
2848,11,Summer:,  guy mom dad like right around corner
2849,11,Birdperson:,  moment morty choos wise tammy
2850,11,Birdperson:,  caw
2851,11,Summer:,  wow screw
2852,11,Morty:,  ( walk rick shake ) rick wake
2853,11,Rick:,  huh wait stop
2854,11,Morty:,  rick got someth quick parent home
2855,11,Morty:,  oh god walk driveway
2856,11,Rick:,  bring thing
2857,11,Morty:,  -- thing
2858,11,Rick:,  ( rub forehead focus ) thing thing -- -- got like button light -- -- beep
2859,11,Morty:,  rick describ everyth garag
2860,11,Summer:,  ( walk rick remov devic ) mean
2861,11,Rick:,  summer ( burp ) win
2862,11,Rick:,  right
2863,11,Morty:,  whoa
2864,11,Rick:,  uh see
2865,11,Summer:,  whoa
2866,11,Rick:,  yeah e everyth ’s frozen time yeah slow mobiu think
2867,11,Morty:,  long
2868,11,Rick:,  know long guy want week month
2869,11,Summer:,  start clean hous see feel
2870,11,Rick:,  worst movi ever
2871,11,Summer:,  dumb
2872,11,Morty:,  ooh boy wast time
2873,11,Morty:,  get know ’caus frozen
2874,11,Summer:,  much fun
2875,11,Rick:,  need ( burp ) new catchphras
2876,11,Morty:,  oh yeah -- rick
2877,11,Rick:,  love grandkid
2878,11,Rick:,"  psych kid -- new catchphras "" give fuck """
2879,11,Rick and the song:,  ♪ shake ass bitch let see whatcha got ♪ ♪ shake ass bitch let see whatcha got ♪ roll credit ♪ shake a-- roll credit go ♪ shake ass end season one
2880,11,Rick:,"  end motherfuck "" give fuck "" new catchphras fuck season one boom season one face motherfuck yeah"
2881,11,Abradolph Lincoler: ,reveng
2882,11,Abradolph Lincoler: ,
2883,11,Shirtless guy:,  parti
2884,11,Shirtless guy:,  whoo babi
2885,11,Abradolph Lincoler: ,pleas stop
2886,11,Shirtless Guy:,  hey brah
2887,11,Abradolph Lincoler: ,understand enjoy like
2888,11,Shirtless Guy:,  yeah know dawg whoo babi
2889,12,Summer:,  hurri morty grampa ’s unfreez time know realli clean top bottom
2890,12,Morty:,  know vacuum mom dad summer ’ve six month
2891,12,Summer:,  ’ve
2892,12,Morty:,  fault froze time humid day
2893,12,Summer:,  drop mani ball man ever get scare grampa rick might make new sidekick
2894,12,Morty:,  kind monster
2895,12,Summer:,  compet one
2896,12,Rick:,  care * belch * thing guy talk whole point freez time stop give fuck put shirt dumb dad let us get dumb univers roll let us thing
2897,12,Rick:,  alright listen two froze time pretti long time unfreez world ’s time go fine time ’s go need littl time know stabil
2898,12,Morty:,  time go unstabl even mean
2899,12,Rick:,  mean relax stop pussi morty thought learn also mean touch parent could shatter countless theoret shard
2900,12,Morty:,"< span style=""font weight : normal "" > wait minut what?</span >"
2901,12,Rick:,"< span style=""font weight : normal "" > away go!</span >"
2902,12,Morty:,"< span style=""font weight : normal "" > uh ever put mattress mr benson?</span >"
2903,12,Rick:,  shhh morty
2904,12,Jerry:,  thing two wait hous pull could sworn hous complet trash
2905,12,Rick:,  neg visual jerry explain lot hi sweeti
2906,12,Beth:,  hi dad
2907,12,Beth:,  summer morty okay
2908,12,Morty:,  w miss lot
2909,12,Summer:,  yeah miss much much hug though
2910,12,Rick:,  yeah would liter destroy listen — — — guy go get free sunda ice cream ( rick put rubber band around roll wad cash ) go get ice cream five hundr dollar cash unmark money ’m go put floor uh kick ya guy go nut
2911,12,Jerry:,  better bribe find singl thing place hous love ice cream save ’ll get jacket
2912,12,Beth:,  sweeti shirt backward
2913,12,Summer:,"< span style=""font weight : normal "" > * gasp * < /span >"
2914,12,Morty:,"< span style=""font weight : normal "" > oh!</span >"
2915,12,Rick:,"< span style=""font weight : normal "" > uh oh.</span >"
2916,12,-------------->,
2917,12,Jerry:,  yeah like way ’m stupid
2918,12,<Simultaneously---,
2919,12,Morty:,"< span style=""font weight : normal "" > phew </span >"
2920,12,Summer: *,"< span style=""font weight : normal"">exhales*</span >"
2921,12,-------------->,
2922,12,Rick: ,  man guy red grin grumbl pretend know go ( morty summer laugh )
2923,12,Summer:,  god feel terribl
2924,12,Rick:,  yup realli make appreci fickl univers ( rick open refriger )
2925,12,Morty:,  uh clear summer ’s job put mattress under-
2926,12,Summer:,  ( interrupt ) uh job morty ( summer poke morty )
2927,12,Morty:,"< span style=""font weight : normal "" > nuh uh!</span >"
2928,12,Summer:,"< span style=""font weight : normal "" > yeah huh!</span >"
2929,12,Rick: ,"< span style=""font weight : normal"">actu sorri summer got back bomb one rememb convers told morty replac bank ’s money cooki job put mattress mr benson.</span >"
2930,12,Morty:,"< span style=""font weight : normal "" > boom face summer realli drop ball man.</span >"
2931,12,Summer:,"< span style=""font weight : normal "" > shut morty vindict littl turd!</span >"
2932,12,Morty:,"< span style=""font weight : normal "" > shut big femal asshole!</span >"
2933,12,Alternate Morty:,"< span style=""font weight : normal "" > hey shove me!</span >"
2934,12,Summer:,"< span style=""font weight : normal "" > not!</span >"
2935,12,Morty:,"< span style=""font weight : normal "" > what?</span >"
2936,12,Alternate Summer:,"< span style=""font weight : normal "" > problem?</span >"
2937,12,Morty:,"< span style=""font weight : normal "" > yours?</span >"
2938,12,Alternate Summer:,"< span style=""font weight : normal "" > shut up!</span >"
2939,12,Morty:,"< span style=""font weight : normal "" > shut up!</span >"
2940,12,Rick:,"< span style=""font weight : normal "" > whoa whoa wh hell hell hell hell hell?</span >"
2941,12,Both Ricks:,"< span style=""font weight : normal "" > oh god oh guy do?</span >"
2942,12,Summer 1:,"< span style=""font weight : normal "" > mean?</span >"
2943,12,Summer 2:,"< span style=""font weight : normal "" > could < /span >"
2944,12,Both,"< span style=""font style : normal""><span style=""font weight : normal "" > wait saying?</span></span >"
2945,12,Both ,"< span style=""font style : normal""><span style=""font weight : normal "" > * belch * either guy uncertain anyth now?</span></span >"
2946,12,Both,"< span style=""font style : normal""><span style=""font weight : normal "" > oh man feel good.</span></span >"
2947,12,"<span style=""font-style: normal"">Morty 1:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > think so.</span></span >"
2948,12,"<span style=""font-style: normal"">Morty 2:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > talk right now?</span></span >"
2949,12,Both,"< span style=""font style : normal""><span style=""font weight : normal "" > wait said that?</span></span >"
2950,12,Both,"< span style=""font style : normal""><span style=""font weight : normal "" > alright move speak think check someth < /span></span >"
2951,12,"<span style=""font-style: normal"">Summer 1:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > morty?</span></span >"
2952,12,"<span style=""font-style: normal"">Summer 2:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > ’m go help grampa.</span></span >"
2953,12,"<span style=""font-style: normal"">Morty 1: </span>","< span style=""font style : normal""><span style=""font weight : normal"">let us see need help.</span></span >"
2954,12,"<span style=""font-style: normal"">Morty 2: </span>","< span style=""font style : normal""><span style=""font weight : normal"">what mean < /span></span >"
2955,12,"<span style=""font-style: normal""><span style=""text-decoration: none"">Summer 1: </span></span>","< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">ugh help too.</span></span></span >"
2956,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal "" > go rick?</span></span></span >"
2957,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">what happen grampa?</span></span></span >"
2958,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">shut ( rick turn monitor ) oh crap kid two dot never need one dot two made us uncertain!</span></span></span >"
2959,12,"<span style=""font-style: normal""><span style=""text-decoration: none"">Morty 1: </span></span>","< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">what mean?</span></span></span >"
2960,12,"<span style=""font-style: normal""><span style=""text-decoration: none"">Morty 2: </span></span>","< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">what english?</span></span></span >"
2961,12,"<span style=""font-style: normal""><span style=""text-decoration: none"">Summer 1: </span></span>","< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">what english please?</span></span></span >"
2962,12,"<span style=""font-style: normal""><span style=""text-decoration: none"">Summer 2: </span></span>","< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">what talk about?</span></span></span >"
2963,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal"">our time fractur two somehow creat feedback loop uncertainti split realiti two equal possibl imposs w exactli like man capabl sustain platon friendship attract femal co worker entir hypothetical.</span></span></span >"
2964,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal "" > thought infinit timelines.</span></span></span >"
2965,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal "" > timelin dummi look.</span></span></span >"
2966,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal "" > oh god!</span></span></span >"
2967,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><span style=""font weight : normal "" > cats?</span></span></span >"
2968,12,Both,"< span style=""font style : normal""><span style=""text decor : none""><b > ricks:</b></span></span >"
2969,12,Summer 1 & Morty 2:,"< span style=""font weight : normal "" > world gone mom dad?</span >"
2970,12,Both Ricks:,"< span style=""font weight : normal "" > “ mom dad ” get head famili ’s ass three us lost timeless oblivion parent get exist probabl live pointless ground stori shitty marriage.</span >"
2971,12,Jerry:,  cold stone creameri best
2972,12,Beth:,"< span style=""font weight : normal "" > realiz sing matter much tip.</span >"
2973,12,Beth: ,"< span style=""font weight : normal"">holi shit happen < /span >"
2974,12,Jerry: ,"< span style=""font weight : normal"">i hit deer w tell cop driving.</span >"
2975,12,Beth:,"< span style=""font weight : normal "" > w what?</span >"
2976,12,Jerry: ,"< span style=""font weight : normal"">thi rum raisin!</span >"
2977,12,Beth:,"< span style=""font weight : normal "" > still alive.</span >"
2978,12,Jerry: ,"< span style=""font weight : normal"">well we- < /span >"
2979,12,"<span style=""font-style: normal"">Beth:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > armadillo asshole!</span></span >"
2980,12,"<span style=""font-style: normal"">Jerry:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > thought man ’s suppos say like could actual done it.</span></span >"
2981,12,"<span style=""font-style: normal"">Beth:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > near hospit could treat think just-</span></span >"
2982,12,"<span style=""font-style: normal"">Jerry:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > okay someth happen even hospit could hors surgeon deer surgeon.</span></span >"
2983,12,"<span style=""font-style: normal"">Beth:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > </span></span >"
2984,12,"<span style=""font-style: normal"">Jerry:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > well differ animals-</span></span >"
2985,12,"<span style=""font-style: normal"">Beth:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > requir differ level skill keep alive?</span></span >"
2986,12,"<span style=""font-style: normal"">Jerry:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > oh god </span></span >"
2987,12,"<span style=""font-style: normal"">Beth:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > get deer car jerry.</span></span >"
2988,12,"<span style=""font-style: normal"">Jerry:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > ye beth.</span></span >"
2989,12,Both Ricks:,  freez time guy incred irrespons
2990,12,Morty 1:,"< span style=""font weight : normal "" > could clean hous party.</span >"
2991,12,Morty 2: ,"< span style=""font weight : normal"">and could clean hous party?</span >"
2992,12,Both Ricks:,"< span style=""font weight : normal "" > look time hold account morty like liter time look around uncertainti inher unsustain eventu everyth either ’ve got four hour “ is”.</span >"
2993,12,Morty 1: ,"< span style=""font weight : normal"">or </span >"
2994,12,Morty 2: ,"< span style=""font weight : normal"">or?</span >"
2995,12,Both Ricks:,"< span style=""font weight : normal "" > “ not”.</span >"
2996,12,Both Ricks: ,"< span style=""font weight : normal"">alright sinc time crystal exist possibl sinc imposs nail ’m probabl press button possibl exactli time.</span >"
2997,12,Morty 1 & Summer 2:,"< span style=""font weight : normal "" > know go to-</span >"
2998,12,Both Ricks:,"< span style=""font weight : normal "" > whatev ask answer ’m amaz away go!</span >"
2999,12,Both Ricks:,"< span style=""font weight : normal "" > huh know working.</span >"
3000,12,Summer 1: ,"< span style=""font weight : normal"">ow ow ouch!</span >"
3001,12,Morty 2: ,"< span style=""font weight : normal"">whoa ow ow.</span >"
3002,12,Both Ricks: ,"< span style=""font weight : normal"">oh shit.</span >"
3003,12,All Ricks:,"< span style=""font weight : normal "" > hell wrong two — — — mean four!?</span >"
3004,12,All Mortys and Summer 2: ,"< span style=""font weight : normal"">that hurt pain </span >"
3005,12,All Ricks: ,"< span style=""font weight : normal"">good ’m glad pain deserv saw * belch * damn place ’ve split twenti minut live alreadi scatter quantum fuck wind hell either uncertain brand zit cream chair sit everyth come spit out!</span >"
3006,12,All Mortys:,"< span style=""font weight : normal "" > well exactli make easi rick!</span >"
3007,12,Morty 1: ,"< span style=""font weight : normal"">you make fun time summer ’s too!</span >"
3008,12,Morty 2: ,"< span style=""font weight : normal"">y alway pick got someon kiss ass!</span >"
3009,12,Summer 1: ,"< span style=""font weight : normal"">me would get excit see fail want grampa yourself!</span >"
3010,12,Summer 2: ,"< span style=""font weight : normal"">me mean jealou want grampa yourself!</span >"
3011,12,All Ricks:,"< span style=""font weight : normal "" > alright cool see happen young unsur place univers want “ grampa ’s favorit ” fix morty sit summer sit listen know two differ lot way understand far grampa ’s concern piec shit yeah prove mathemat actual let grab whiteboard long time come anyway.</span >"
3012,12,Beth:,"< span style=""font weight : normal "" > emerg wound deer come in.</span >"
3013,12,Vet:,"< span style=""font weight : normal "" > three excus back here.</span >"
3014,12,Beth: ,"< span style=""font weight : normal"">i’m certifi hors surgeon deer need medic attent nurs pleas move snake.</span >"
3015,12,Vet:,"< span style=""font weight : normal "" > nurs hors surgeon ’m sure know deer much smaller much intric organs-</span >"
3016,12,Beth:,"< span style=""font weight : normal "" > vet ’m sure know deer closer hors doctor let us save measur dick time save life!</span >"
3017,12,Vet:,"< span style=""font weight : normal "" > geez </span >"
3018,12,Beth:,"< span style=""font weight : normal "" > odd deer ’s wound < /span >"
3019,12,Jerry:,"< span style=""font weight : normal "" > uh yeah rub in.</span >"
3020,12,Beth: ,"< span style=""font weight : normal"">i mean shot gun.</span >"
3021,12,Hunter:,"< span style=""font weight : normal "" > gun.</span >"
3022,12,Vet:,"< span style=""font weight : normal "" > may help sir?</span >"
3023,12,Hunter:,"< span style=""font weight : normal "" > stop help deer shot two hit car follow haul deer belong me.</span >"
3024,12,Beth: ,"< span style=""font weight : normal "" > < /span >"
3025,12,Vet:,"< span style=""font weight : normal "" > look know law say took oath would let anim come harm except steril abort euthen also eat almost meal.</span >"
3026,12,Hunter:,"< span style=""font weight : normal "" > ’m call lawyer hope sake bad surgeon hunter.</span >"
3027,12,Beth:,"< span style=""font weight : normal "" > dream bitch scalpel!</span >"
3028,12,All Ricks: ,"< span style=""font weight : normal"">so conclus equal mercuri overli sensit clingi hyster bird brain homunculi honestli tell two half time go height age go amount pain ass make ident alright everyth resolv everybodi nice certain posit < /span >"
3029,12,"<span style=""font-style: normal"">All Mortys and All Summers:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > yes.</span></span >"
3030,12,"<span style=""font-style: normal"">All Ricks: </span>","< span style=""font style : normal""><span style=""font weight : normal"">alright perfect sit still * belch * arm ’m go time like grampa.</span></span >"
3031,12,"<span style=""font-style: normal"">Morty 2:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > mean drunk?</span></span >"
3032,12,"<span style=""font-style: normal"">Rick 2:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > got someth say?</span></span >"
3033,12,"<span style=""font-style: normal"">Rick 1:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > away go!</span></span >"
3034,12,"<span style=""font-style: normal"">Morty 2:</span>","< span style=""font style : normal""><span style=""font weight : normal "" > no.</span></span >"
3035,12,"<span style=""font-style: normal"">Rick 2: </span>","< span style=""font style : normal""><span style=""font weight : normal"">and away go!</span></span >"
3036,12,All Ricks: ,huh weird oh god
3037,12,All Summers: ,
3038,12,All Ricks: ,son bitch go kill
3039,12,Rick 2: ,follicl unfeel sociopath get think save skin use crystal kill probabl figur easier elimin one possibl rather merg admit alway back mind differ would never
3040,12,Rick 1: ,get get rick tri merg us anymor think save skin use crystal kill probabl figur easier elimin one possibl rather merg admit alway back mind differ would never
3041,12,All Mortys: ,rick hell
3042,12,All Ricks:,  save live take go come
3043,12,All Summers:, 
3044,12,All Ricks:, 
3045,12,Rick 2: ,"< span style=""font weight : normal"">you see get down.</span >"
3046,12,All Summers: ,"< span style=""font weight : normal"">ahh!</span >"
3047,12,All Mortys: ,"< span style=""font weight : normal"">whoa whoa!</span >"
3048,12,Rick 1: ,"< span style=""font weight : normal"">i told psycho!</span >"
3049,12,Rick 2: ,"< span style=""font weight : normal"">he lost time fractur must made crazy!</span >"
3050,12,Rick 1: ,"< span style=""font weight : normal"">i know know do!</span >"
